"codigo","codigoBarra","descripcion","precio","costo","iva","unidad"
"1","","GRIFERIA MOZART PESADA","148760.33","148760.33","21","UN"
"5","","MAESTRO X 25 KG CEMENTO ALBAÑILERIA","6983.47","6983.47","21","UN"
"3000","","KG CEMENTO SUELTO","413.23","413.23","21","UN"
"3001","","KG CEMENTO ALBANILERIA","330.58","413.23","21","UN"
"3002","","KG CAL HIDRATADA SUELTA","413.23","413.23","21","UN"
"3003","","KG CAL VIVA SUELTA","454.55","578.52","21","UN"
"22","","CANILLA LAVATORIO  1 AGUA","24793.39","19680.99","21","UN"
"23","","TRAVESAÑO CORTO 24X28X610","909.10","1002.29","21","UN"
"24","","CANILLA ESFERICA DE 1/2 DUKE DE PVC","4555.17","4555.17","21","UN"
"25","","PERF. OMEGA PGO 22 E0,94 X 3M","10808.61","10808.61","21","UN"
"26","","CANILLA ESFERICA DE 1/2 ECONOMICA PVC","1731.20","1731.20","21","UN"
"3250","","ALAMBRE TEJIDO 2 X 15 MTS (2,5""x14,5)","114505.29","114505.29","21","UN"
"315","","PALA ECONOMICA (CONER-ANSA)","22770.66","22770.66","21","UN"
"318","","CINTA METRICA EVEL X 3 MTS C/FRENO","8264.46","10743.80","21","UN"
"381","","MASILLA BALDE X 7 KG (GAMAX)","9818.18","10909.09","21","UN"
"382","","LADRILLOS HUECOS TERMICOS 27X18X33 (54)","1727.27","1727.27","21","UN"
"383","","ASIENTO ECONOMICO 4 MM","22983.47","22983.47","21","UN"
"384","","REDUCCION PVC 110 A 63","2582.74","3308.59","21","UN"
"385","","RAMAL ""T"" 40","1883.82","1940.33","21","UN"
"386","","ZINGUERIA CODO CANALETA AMERICANA 45 Y 90","4380.17","4380.17","21","UN"
"387","","HOJA DE SIERRA (BIMETAL)","3972.12","3972.12","21","UN"
"414","","CLAVOS ESPIRALADO 1""   X KG.","7107.45","7107.45","21","UN"
"421","","CEMENTO RAPIDO GRIS  X 1 KG.","1487.60","1487.60","21","UN"
"422","","LADRILLO COMUN DURO NORTE","236.37","236.37","21","UN"
"423","","CEMENTO BLANCO X 25KG","45454.55","45454.55","21","UN"
"424","","REVESTIMIENTO LEON GRIS 32X47 (2,30MTS)","17962.81","17962.81","21","UN"
"425","","CODO 110 CON ACOMETIDA","10555.23","10871.89","21","UN"
"426","","SILICONA COMUNES  / SILOC","8655.99","8655.99","21","UN"
"427","","BLOCK CEMENTO LISO 19X19X39 (108)","1991.74","1991.74","21","UN"
"428","","V","1980.20","1980.20","21","UN"
"429","","MIRILLA PARA PUERTA","1553.88","1553.88","21","UN"
"430","","CANILLA DE 1/2  BRONCE PICO MANGA","7503.42","9090.91","21","UN"
"431","","RECUMIX 500 GMS","4208.85","4208.85","21","UN"
"436","","CAÑO NEGRO 1/2 X MT","1487.60","833.72","21","UN"
"437","","TAPA DE CAMARA SEPTICA OCTOGONAL C/TAPINES","21090.92","21090.92","21","UN"
"438","","PERFIL ""C"" GALVANIZADO 160X2X12MTS","161157.03","165991.74","21","UN"
"439","","KG PEGAMENTO SUELTO","330.58","330.58","21","UN"
"440","","PEGAM. WEBER ESTANDAR (VIOLETA) X 25KG","7530.79","7530.79","21","UN"
"441","","PILETA LAVAR CEMENTO","34710.74","34710.74","21","UN"
"442","","KG FINO SUELTO","413.22","495.87","21","UN"
"443","","T","1523.52","1523.52","21","UN"
"447","","HIDROFUGO SINTEPLAS X 1 KG","2396.69","2396.69","21","UN"
"448","","HIDROFUGO IMPERSOL X 20 KGS","31322.32","31322.32","21","UN"
"449","","HIDROFUGO IMPERSOL X 5 KGS","10041.33","10041.33","21","UN"
"450","","HIDROFUGO IMPERSOL X 1 KG","2975.21","2975.21","21","UN"
"451","","HIDROFUGO SINTEPLAST ORG X 20 KG","17050.58","17050.58","21","UN"
"452","","REJILLA VENT ESMALTADA 20 X 20 APROVADA","3057.85","3057.85","21","UN"
"453","","SIKA 3 X 6LTS. SIN CLORURO","27505.51","27505.51","21","UN"
"454","","BLOCK SPLITADO 20","3198.35","3198.35","21","UN"
"455","","SIKA 3 X 6 LTS.","13223.14","13949.08","21","UN"
"456","","SIKA 3 X 2 LTS. SIN CLORURO","10874.28","10874.28","21","UN"
"457","","SIKALATEX X  5 LTS.","69745.38","69745.38","21","UN"
"458","","MEMBRANA HIDRO. TYPAR TECHO 0.91X30","92034.99","92034.99","21","UN"
"459","","FERRITE NEGRO X 1 KG.","16528.93","16528.93","21","UN"
"460","","FERRITE ROJO X KG.","15702.48","15702.48","21","UN"
"461","","FERRITE AMARILLO  X KG.","15702.48","15702.48","21","UN"
"462","","BAJOTEJA 10MM CON ALUM./ DOBLE","67768.60","67768.60","21","UN"
"463","","FERRITE TERRACOTA X KG.","15702.48","15702.48","21","UN"
"464","","MEMBRANA EN PASTA POL. DOBLEFACE X 20 KG","100000.00","100000.00","21","UN"
"465","","PEGAM. PORCELAN. PERFECTO (verde) AVELLANEDA","23638.94","23638.94","21","UN"
"466","","MEMBRANA ASF. C/ALUMINIO N4 (35KG) x 10 mts.","52066.12","52066.12","21","UN"
"467","","MEMBRANA EN PASTA POL. TECHOS VICTORIA X 10KG","79338.84","79338.84","21","UN"
"468","","BAJOTEJA 5 MM SIN ALUM.  x 20 mt2","17781.83","17781.83","21","UN"
"469","","PINTURA ASFALTICA X   1 LT. b/solvente","4680.00","5148.00","21","UN"
"470","","PINTURA ASFALTICA X   4 LT. b/solvente","14949.02","14949.02","21","UN"
"471","","EMULSION ASFALTICA X  5 LT.","6093.12","6093.12","21","UN"
"473","","PINTURA ASFALTICA X   18 LT. b/solvente","55454.56","61239.67","21","UN"
"474","","CINTA DE PAPEL","3389.51","3389.51","21","UN"
"475","","CABO PARA PALA","6375.78","6375.78","21","UN"
"476","","MESADA ACERO INOX 1,40 MTS C/BACHA CENTRAL","94027.59","94027.59","21","UN"
"477","","GOMA ASIENTO INODORO","2169.73","2169.73","21","UN"
"478","","CINTA EMBALAR TRANSPARENTE","3636.36","4009.09","21","UN"
"480","","MEDIASOMBRA ST 80% VERDE X METRO","3690.19","4545.46","21","UN"
"481","","BREA EN PANES X KG.","2892.56","2892.56","21","UN"
"482","","VENDA DRAY  0.20 X 25 MTS","4173.56","4173.56","21","UN"
"483","","METAL DESPLEGADO LIVIANO  X 2 MTS","3057.86","3057.86","21","UN"
"484","","PERIMETRAL 18X18X3000 MM","2640.50","2911.16","21","UN"
"485","","HIDROFUGO X 200 KG CERESITA (weber)","304111.58","304111.58","21","UN"
"486","","PISTOLA SILICONA ECONOM","12396.69","10933.89","21","UN"
"487","","FLEXIBLES ARTIC. CROMO 1/2"" X 40CM","2750.22","2750.22","21","UN"
"488","","SELLA GRIETAS Y JUNTAS RECUPLAST X 5KG","43140.50","43140.50","21","UN"
"489","","PEGAM. LOPEGO FLEXIBLE  X 25KG","25045.46","27632.90","21","UN"
"490","","ALAMBRE TEJIDO 1,50 X 10 MTS (3""x14,5)","47531.00","47531.00","21","UN"
"491","","FIJACION NRO 8 (TAR+TOR) X 100","9836.92","9836.92","21","UN"
"492","","REJILLA 15X15 ACERO INOX PISO","8264.46","9111.56","21","UN"
"493","","MANGUERA NIVEL X METRO","1002.29","1002.29","21","UN"
"494","","ALAMBRE GALVANIZADA N  8 X KG. 4,19 M.","5532.23","5619.84","21","UN"
"495","","ALAMBRE GALVANIZADA N  9 X KG. 3,75 M.","5867.76","5867.76","21","UN"
"496","","ALAMBRE TEJIDO 2 X 10 MTS (3""x14,5)","66543.39","66543.39","21","UN"
"497","","ALAMBRE GALVANIZADA N 12 X KG. 2,76 M.","5619.84","5619.84","21","UN"
"498","","ALAMBRE GALVANIZADA N 14 X KG. 2,10 M.","5619.84","5619.84","21","UN"
"499","","ALAMBRE GALVANIZADA N 16 X KG. 1,65 M.","5619.84","5619.84","21","UN"
"500","","ALAMBRE GALVANIZADA N 21 X KG. 0,81 M.","17041.36","17041.36","21","UN"
"501","","ALAMBRE NEGRO N  9 X KG. 3,75 M.","4708.68","4708.68","21","UN"
"502","","ALAMBRE NEGRO N 14 X KG. 2,10 M.","5578.51","5578.51","21","UN"
"503","","ALAMBRE NEGRO N 16 X KG. 1,65 M.","4628.10","4708.68","21","UN"
"504","","BARRA DE   HIERRO NERVADO   4 MM.","3738.84","3738.84","21","UN"
"505","","BARRA DE   HIERRO NERVADO 6 MM.  2,6 KG.","5991.74","5991.74","21","UN"
"506","","BARRA DE   HIERRO NERVADO 8 MM.  4,8 KG.","10202.32","10202.32","21","UN"
"507","","BARRA DE  HIERRO NERVADO 10 MM.  7,4 KG.","15926.61","15926.61","21","UN"
"508","","BARRA DE  HIERRO NERVADO 12 MM. 10,7 KG.","21074.38","21137.20","21","UN"
"509","","BARRA DE  HIERRO NERVADO 14 MM. 14,5 KG","27401.59","29352.59","21","UN"
"510","","BARRA DE  HIERRO NERVADO 16 MM. 18,9 KG.","39949.76","39949.76","21","UN"
"511","","BARRA DE  HIERRO NERVADO 20 MM. 29,6 KG","55842.98","62451.57","21","UN"
"512","","BARRA DE  HIERRO NERVADO 25 MM. 46,2 KG.","94847.46","94847.46","21","UN"
"513","","BARRA DE HIERRO LISO   0   6 MM.  2,6 KG.","8472.29","8472.29","21","UN"
"514","","BARRA DE HIERRO LISO   0   8 MM.  4,8 KG.","14754.46","14754.46","21","UN"
"515","","BARRA DE HIERRO LISO   0  10 MM.  7,4 KG.","23053.89","23053.89","21","UN"
"516","","BARRA DE HIERRO LISO   0  12 MM. 10,7 KG.","25198.28","26206.21","21","UN"
"517","","BARRA DE HIERRO LISO   0  14 MM. 14,5 KG.","30734.41","30734.41","21","UN"
"518","","BARRA DE HIERRO LISO   0  16 MM. 18,9 KG.","35347.94","35347.94","21","UN"
"519","","BARRA DE HIERRO LISO   0  20 MM. 29,6 KG.","54569.89","54569.89","21","UN"
"520","","BARRA DE HIERRO LISO   0  25 MM. 46,2 KG.","69653.71","69653.71","21","UN"
"521","","GRIFERIA LAVATORIO FV ARIZONA","76214.88","76214.88","21","UN"
"522","","MALLA CUBRECERCO VERDE X 1.50 MT2.","1735.54","1913.44","21","UN"
"523","","GRIFERIA BIDET FV ARIZONA","79456.20","79456.20","21","UN"
"524","","MAYA SIMA 15 X 15 (4MM 6X2 MTS)","37190.08","39446.53","21","UN"
"525","","MALLA 18X18 (BARRA 5,5 MM) 5X2","60296.86","60296.86","21","UN"
"526","","CAMARA SEPTICA CUADRADA (HASTA 6 PERS)","66115.71","66115.71","21","UN"
"528","","CLAVOS  PUNTA PARIS 1""    X KG.","5371.10","5371.10","21","UN"
"529","","CLAVOS  PUNTA PARIS 11/2"" X KG.","5371.10","5371.10","21","UN"
"530","","CLAVOS  PUNTA PARIS 2""    X KG.","3820.25","3820.25","21","UN"
"531","","CLAVOS  PUNTA PARIS 21/2"" X KG.","3719.01","3820.25","21","UN"
"532","","CLAVOS  PUNTA PARIS 3""    X KG.","5371.10","5371.10","21","UN"
"533","","CLAVOS  PUNTA PARIS 4""    X KG.","5371.10","5371.10","21","UN"
"534","","CLAVOS  PUNTA PARIS 5""    X KG.","5371.10","5371.10","21","UN"
"535","","CLAVOS  PUNTA PARIS 6""    X KG.","5371.10","5371.10","21","UN"
"536","","CLAVOS  PUNTA PARIS 7""    X KG.","5371.10","5371.10","21","UN"
"537","","CLAVOS  PUNTA PARIS 8""    X KG.","5371.10","5371.10","21","UN"
"538","","RECUMIX EXTERIOR X 1.250 KG","5371.91","5371.91","21","UN"
"539","","CAJA  CLAVOS DE TECHO 4""","9011.35","9011.35","21","UN"
"564","","CARRETILLA  AZUL","51239.67","56471.24","21","UN"
"565","","REJILLA FUNDICION 10 X 50","36776.86","40546.49","21","UN"
"568","","HORMIGONERA (AZUL) MOTOR 3/4","377992.97","377992.97","21","UN"
"577","","CHAPA TRASL","91799.58","91799.58","21","UN"
"579","","KG DE ELECTRODOS  X 2 MM. CONARCO","16528.93","16528.93","21","UN"
"580","","DISCO DIAMANTADO SEGMENTADO 115 (BULIT)","9421.49","9421.49","21","UN"
"581","","KG DE ELECTRODOS X 3,25MM. CONARCO","10743.80","10743.80","21","UN"
"582","","KG DE ELECTRODOS  X 2.5 MM.CONARCO","13223.15","13223.15","21","UN"
"666","","LANA DE VIDRIO  SIN PAPEL X 50MM (1.2X18)","84592.40","84592.40","21","UN"
"667","","PORC. FOREST TENDENZA 19X119 X MT2","25702.48","25702.48","21","UN"
"668","","PALA ES","26413.97","26413.97","21","UN"
"669","","PASTINA BLANCA/OLIVA/MARRON PEGOL X1KG","1652.90","1652.90","21","UN"
"670","","CUPLA PVC 160","5503.08","7049.65","21","UN"
"671","","JUEGO DE BAÑO CAPEA CORTO (I/B/C/D/L)","446599.18","446599.18","21","UN"
"672","","CHAPA X MT CINCALUM","20000.00","20600.00","21","UN"
