"codigo","idrubro","idmarca","idsubrubro"
"1","1","0","0"
"5","1","0","0"
"3000","58","0","0"
"3001","58","0","0"
"3002","58","0","0"
"3003","58","0","0"
"22","12","0","0"
"23","12","0","0"
"24","12","0","0"
"25","200","0","0"
"26","12","0","0"
"3250","36","0","0"
"315","11","0","0"
"318","12","0","0"
"381","33","0","0"
"382","4","0","0"
"383","14","0","0"
"384","14","0","0"
"385","14","0","0"
"386","3","0","0"
"387","12","0","0"
"414","321","0","0"
"421","1","0","0"
"422","5","0","0"
"423","117","0","0"
"424","9","0","0"
"425","14","0","0"
"426","12","0","0"
"427","41","0","0"
"428","40","0","0"
"429","12","0","0"
"430","12","0","0"
"431","302","0","0"
"436","14","0","0"
"437","32","0","0"
"438","2","0","0"
"439","58","0","0"
"440","15","0","0"
"441","27","0","0"
"442","58","0","0"
"443","63","0","0"
"447","19","0","0"
"448","87","0","0"
"449","87","0","0"
"450","87","0","0"
"451","302","0","0"
"452","19","0","0"
"453","19","0","0"
"454","41","0","0"
"455","19","0","0"
"456","19","0","0"
"457","19","0","0"
"458","200","0","0"
"459","21","0","0"
"460","21","0","0"
"461","21","0","0"
"462","24","0","0"
"463","21","0","0"
"464","40","0","0"
"465","17","0","0"
"466","24","0","0"
"467","302","0","0"
"468","24","0","0"
"469","25","0","0"
"470","25","0","0"
"471","25","0","0"
"473","25","0","0"
"474","12","0","0"
"475","11","0","0"
"476","27","0","0"
"477","12","0","0"
"478","12","0","0"
"480","12","0","0"
"481","25","0","0"
"482","40","0","0"
"483","25","0","0"
"484","12","0","0"
"485","15","0","0"
"486","12","0","0"
"487","12","0","0"
"488","302","0","0"
"489","15","0","0"
"490","36","0","0"
"491","11","0","0"
"492","12","0","0"
"493","12","0","0"
"494","22","0","0"
"495","22","0","0"
"496","36","0","0"
"497","22","0","0"
"498","22","0","0"
"499","22","0","0"
"500","22","0","0"
"501","22","0","0"
"502","22","0","0"
"503","22","0","0"
"504","23","0","0"
"505","23","0","0"
"506","23","0","0"
"507","23","0","0"
"508","23","0","0"
"509","23","0","0"
"510","23","0","0"
"511","23","0","0"
"512","23","0","0"
"513","23","0","0"
"514","23","0","0"
"515","23","0","0"
"516","23","0","0"
"517","23","0","0"
"518","23","0","0"
"519","23","0","0"
"520","23","0","0"
"521","18","0","0"
"522","12","0","0"
"523","18","0","0"
"524","7","0","0"
