"id","nombre"
"1","BOLSAS (001)"
"2","PERFILES"
"3","ZINGUERIA"
"4","LADRILLOS HUECOS"
"5","LADRILLOS COMUNES"
"6","ABERTURAS ALUMINIO"
"7","MALLAS"
"8","PUERTAS CHAPA"
"9","CERAMICAS  (009)"
"11","HERRAMIENTAS"
"12","FERRETERIA"
"13","REFRACTARIOS (013)"
"14","PVC"
"15","WEBER"
"16","CAPEA  (016)"
"17","PEGAMENTO AVELLANEDA"
"18","GRIFERIAS FV"
"19","SIKA (019)"
"20","VANITORYS Y BOTIQUINES"
"21","FERRITES (021)"
"22","ALAMBRES"
"23","HIERROS (023)"
"24","MEMBRANAS Y AISLANTES"
"25","PRODUCTOS ASFALTICOS"
"26","TELGOPOR"
"27","MESADAS Y PILETAS"
"28","CHAPAS"
"29","TANQUES (029)"
"30","SHAP"
"31","DISCOS DE CORTE"
"32","PREMOLDEADOS"
"33","GAMAX"
"36","ALAMBRADOS"
"37","NOVOPLACK"
"38","PROD. POR JUEGOS"
"40","ING. R CABEZA"
"41","BLOQUES CEMENTO"
"46","ELECTRODOS"
"50","BERMON"
"52","TARQUINI"
"53","REFRACTARIOS FIRECOR"
"58","PRODUCTOS POR KGS"
"59","LADRILLOS Y VIGUETAS (059)"
"60","PUERTAS PLACAS - EMBUTIR Y OTRAS"
"61","REFRACTARIOS (061)"
"63","JOHNSON ACERO (063)"
"73","HERRAMIENTAS ARTESANALES"
"79","VALENTINUZ (079)"
"85","NEXO (085)"
"87","hidrofugo"
"88","FEETERIA"
"117","PEGOL"
"200","PERFILES BARBIERI"
"201","ESTRUCTURALES (201)"
"220","AISPLAC"
"222","REALPLAST"
"302","PINTURA SINTEPLAST"
"321","CLAVOS"
"355","PRUDUCTO IVA 10.5"
"356","PISOS SOMA"
