"codigo","codigoBarra","descripcion","precio","costo","iva","unidad"
"C-10026 A RV","","Peugeot Boxer HDI, Citroen Jumper HDI, Fiat Ducato JTD 190697","1650.21","1650.21","21","UN"
"C-10039ECO RV","","GM Vectra Diésel. (reemplaza C5897)","934.20","934.20","21","UN"
"C-10194","","Ford Focus / Kinetic (TDCi)","767.93","767.93","21","UN"
"C-10308ECO RV","","VW Bora, Vento, Tiguan, Audi A3 2,0 Tdi.","1544.08","1544.08","21","UN"
"C-10353 RV","","Toyota Hilux","931.80","931.80","21","UN"
"C-10448ECO RV","","Audi A3","2051.29","2051.29","21","UN"
"C-10586ECO RV","","Ford Mondeo IV 2.0 TDCI","1706.31","1706.31","21","UN"
"C-10635ECO RV","","Iveco Daily HPI","1831.32","1831.32","21","UN"
"C-10750ECO RV","","GM Cruze 2.0 VDCi","2061.51","2061.51","21","UN"
"C-10777ECO RV","","Citroen C4 y Picasso","1223.82","1223.82","21","UN"
"C-10778ECO RV","","C5, DS3 y DS4","1247.42","1247.42","21","UN"
"C-11045 RV","","VW, AUDI 3.0 Tdi V6 (PU1033x)","1767.45","1767.45","21","UN"
"C-11193ECO RV","","VW CC, Sharan 2.0 Tdi","1204.32","1204.32","21","UN"
"C-11507 RV","","Ford Ranger 2013","1038.94","1038.94","21","UN"
"C-11574 RV","","Renault Kangoo 2019->","1651.01","1651.01","21","UN"
"C-1166 PL RV","","Caterpillar (1R0724), Mann (P934), Fleetguard (FF116).","1952.88","1952.88","21","UN"
"C-11680 RV","","Fiat Toro diesel.","2366.39","2366.39","21","UN"
"C-1173 PL RV","","GM primario","2790.97","2790.97","21","UN"
"C-1174 PL RV","","GM secundario.","1773.36","1773.36","21","UN"
"C-11748 RV","","Iveco Daily HPI","2515.77","2515.77","21","UN"
"C-1175 PL","","John Deere 445. 730 secundario.","775.87","775.87","21","UN"
"C-11816 PL","","Perkins 3-152. Hasta 1974, Massey Ferguson 1095.","451.84","451.84","21","UN"
"C-11846 PL","","Perkins 3-152, 4-203, 6-305, hasta 1977, Massey Ferguson.","440.94","440.94","21","UN"
"C-11860 PL","","Mercedes Benz Bosch 1/2 litro.","394.21","394.21","21","UN"
"C-11860 ZP RV","","Ford 14000 MWM, M. Benz OHL1316 y OHL1320 (paño).","786.44","786.44","21","UN"
"C-11861 PL","","Mercedes Benz 1521, 1419, 1526, Bosch 1 litro.","600.02","600.02","21","UN"
"C-11861 ZP RV","","Mercedes Benz L1633, LS1633, L1935, L1938 (PA�O).","763.58","763.58","21","UN"
"C-11864 ZP RV","","Mercedes Benz L1215, LK1215, L709, L710, 1715/1722 S.","819.19","819.19","21","UN"
"C-11909 PL","","Renault Expres, Peugeot 505 indenor 4.","473.39","473.39","21","UN"
"C-1191","","Perkins 3152, 4203, 6305, 6.354 Peugeot (bobinados).","494.68","494.68","21","UN"
"C-1191 A F","","Perkins 3152, 4203, 6305, 6.354 Peugeot (plegados).","434.84","434.84","21","UN"
"C-1192 A","","Chevrolet 350. Deutz A30, A40, A45, A46, (secundario).","748.37","748.37","21","UN"
"C-11950 PLA","","Someca","592.55","592.55","21","UN"
"C-12360 RV","","GM Spin, Cobalt 1.3L (diesel)","1079.44","1079.44","21","UN"
"C-12749 RV","","VW Vento Passat Tiguan (DSG 6 Vel)","1221.93","1221.93","21","UN"
"C-1660 A RV","","Caterpillar","2793.71","2793.71","21","UN"
"C-1669 RV","","Terex (hidráulico)","1066.62","1066.62","21","UN"
"C-1723 RV","","Caterpillar","4048.26","4048.26","21","UN"
"C-175 E RV","","GM Kodiak 15190, 14190 (Mot. Caterpillar).","3790.64","3790.64","21","UN"
"C-31 PL","","M. Benz 1114","894.68","894.68","21","UN"
"C-3936 RV","","John Deere 4040, 4050 Hidráulico Fleetguard HF6184","6043.80","6043.80","21","UN"
"C-3954 RV","","FiatAllis, Ford, John Deere, Michigan (hidráulico).","1144.66","1144.66","21","UN"
"C-4635 RV","","Caterpillar (hidráulico).","2690.85","2690.85","21","UN"
"C-4661","","Renault 18 GTD, Traffic Diésel.","795.83","795.83","21","UN"
"C-4834 RV","","IVECO Daily (REEMPLAZA AL C4834 FRAM)","567.65","567.65","21","UN"
"C-4880 A","","Deutz","807.16","807.16","21","UN"
"C-4881 A","","Deutz Zanello (motor Deutz BF6L 913 Turbo).","848.98","848.98","21","UN"
"C-4986 A","","Ford Fiesta Diésel, Transit 2.5L.","1582.82","1582.82","21","UN"
"C-11781 RV","","Peugeot expert, travelier, citroen jumpy, space tour motor 2.0 HDI","1402.73","1402.73","21","UN"
"C-5563","","Peugeot 405 (Gasolero).","627.86","627.86","21","UN"
"C-5783","","Peugeot 406 SVDT 8/97/=>.","538.82","538.82","21","UN"
"C-5932","","M. Benz (electrónicos).","1619.73","1619.73","21","UN"
