codigo,idrubro,idmarca,idsubrubro
"C-10026 A RV",1,0,0
"C-10039ECO RV",1,0,0
"C-10194",1,0,0
"C-10308ECO RV",1,0,0
"C-10353 RV",1,0,0
"C-10448ECO RV",1,0,0
"C-10586ECO RV",1,0,0
"C-10635ECO RV",1,0,0
"C-10750ECO RV",1,0,0
"C-10777ECO RV",1,0,0
"C-10778ECO RV",1,0,0
"C-11045 RV",1,0,0
"C-11193ECO RV",1,0,0
"C-11507 RV",1,0,0
"C-11574 RV",1,0,0
"C-1166 PL RV",1,0,0
"C-11680 RV",1,0,0
"C-1173 PL RV",1,0,0
"C-1174 PL RV",1,0,0
"C-11748 RV",1,0,0
"C-1175 PL",1,0,0
"C-11816 PL",1,0,0
"C-11846 PL",1,0,0
"C-11860 PL",1,0,0
"C-11860 ZP RV",1,0,0
"C-11861 PL",1,0,0
"C-11861 ZP RV",1,0,0
"C-11864 ZP RV",1,0,0
"C-11909 PL",1,0,0
"C-1191",1,0,0
"C-1191 A F",1,0,0
"C-1192 A",1,0,0
"C-11950 PLA",1,0,0
"C-12360 RV",1,0,0
"C-12749 RV",1,0,0
"C-1660 A RV",1,0,0
"C-1669 RV",1,0,0
"C-1723 RV",1,0,0
"C-175 E RV",1,0,0
"C-31 PL",1,0,0
"C-3936 RV",1,0,0
"C-3954 RV",1,0,0
"C-4635 RV",1,0,0
"C-4661",1,0,0
"C-4834 RV",1,0,0
"C-4880 A",1,0,0
"C-4881 A",1,0,0
"C-4986 A",1,0,0
"C-11781 RV",1,0,0
"C-5563",1,0,0
"C-5783",1,0,0
"C-5932",1,0,0
"C-5940",1,0,0
"C-6990 RV",1,0,0
"C-7036 RV",1,0,0
"C-7060 RV",1,0,0
"C-7215 RV",1,0,0
"C-7523 RV",1,0,0
"C-7578 RV",1,0,0
"C-844 PLA",1,0,0
"C-8505 RV",1,0,0
"C-8820",1,0,0
"C-8826",1,0,0
"C-8826 RV",1,0,0
"C-8827",1,0,0
"C-8837",1,0,0
"C-8981ECO RV",1,0,0
"C-8990ECO RV",1,0,0
"C-9517 RV",1,0,0
"C-9712",1,0,0
"C-9766ECO RV",1,0,0
"C-9771 RV",1,0,0
"C-9815 RV",1,0,0
"C-9817",1,0,0
"C-9927",1,0,0
"C-9990",1,0,0
"C-11723 RV",1,0,0
"C-1721 RV",1,0,0
"C-11812ECO RV",1,0,0
"CG-8673 RV",1,0,0
"CG-8953",1,0,0
"CS-11971 RV",1,0,0
"CS-10145 RV",1,0,0
"CS-10965 RV",1,0,0
"CS-12054 RV",1,0,0
"CS-12162 RV",1,0,0
"CS-3504 RV",1,0,0
"CS-3558 RV",1,0,0
"CS-7715 RV",1,0,0
"CCS-1136 RV",1,0,0
"CA-10013 RV",1,0,0
"CA-10023",1,0,0
"CA-10029 RV",1,0,0
"CA-10030 RV",1,0,0
"CA-10031 RV",1,0,0
"CA-10050 RV",1,0,0
"CA-10051 RV",1,0,0
"CA-10057 RV",1,0,0
"CA-10083 RV",1,0,0
"CA-10084 RV",1,0,0
"CA-10085",1,0,0
"CA-10086 RV",1,0,0
"CA-10088 RV",1,0,0
"CA-10111",1,0,0
"CA-10112",1,0,0
"CA-10112 RV",1,0,0
"CA-10114 RV",1,0,0
"CA-10115 RV",1,0,0
"CA-10116 RV",1,0,0
"CA-10117 RV",1,0,0
"CA-10118 RV",1,0,0
"CA-10130",1,0,0
"CA-10131",1,0,0
"CA-10165 RV",1,0,0
"CA-10169 RV",1,0,0
"CA-10171 RV",1,0,0
"CA-10190 RV",1,0,0
"CA-10192 RV",1,0,0
"CA-10211 RV",1,0,0
"CA-10216 RV",1,0,0
"CA-10217 RV",1,0,0
"CA-10221",1,0,0
"CA-10227",1,0,0
"CA-10228 RV",1,0,0
"CA-10233 RV",1,0,0
"CA-10234 RV",1,0,0
"CA-10236 RV",1,0,0
"CA-10237",1,0,0
"CA-10239 RV",1,0,0
"CA-10249 RV",1,0,0
"CA-10253 RV",1,0,0
"CA-10256 RV",1,0,0
"CA-10261 RV",1,0,0
"CA-10273 RV",1,0,0
"CA-10276",1,0,0
"CA-10278",1,0,0
"CA-10290 RV",1,0,0
"CA-10293",1,0,0
"CA-10314",1,0,0
"CA-10320",1,0,0
"CA-10327 RV",1,0,0
"CA-10328 RV",1,0,0
"CA-10330",1,0,0
"CA-10332 RV",1,0,0
"CA-10344 RV",1,0,0
"CA-10348 RV",1,0,0
"CA-10354 RV",1,0,0
"CA-10355 RV",1,0,0
"CA-10356 RV",1,0,0
"CA-10416 RV",1,0,0
"CA-10418 RV",1,0,0
"CA-10456",1,0,0
"CA-10470 RV",1,0,0
"CA-10477",1,0,0
"CA-10485 RV",1,0,0
"CA-10497 RV",1,0,0
"CA-10500 RV",1,0,0
"CA-10509 RV",1,0,0
"CA-10516 RV",1,0,0
"CA-10518",1,0,0
"CA-10520 RV",1,0,0
"CA-10521",1,0,0
"CA-10521 RV",1,0,0
"CA-10522 RV",1,0,0
"CA-10524 RV",1,0,0
"CA-10539 RV",1,0,0
"CA-10650 RV",1,0,0
"CA-10651",1,0,0
"CA-10653",1,0,0
"CA-10662-2 RV",1,0,0
"CA-10675 RV",1,0,0
"CA-10676 RV",1,0,0
"CA-10677 RV",1,0,0
"CA-10683 RV",1,0,0
"CA-10693 RV",1,0,0
"CA-10696",1,0,0
"CA-10697",1,0,0
"CA-10699 RV",1,0,0
"CA-10700 RV",1,0,0
"CA-10739 RV",1,0,0
"CA-10748 SY",1,0,0
"CA-10749",1,0,0
"CA-10749 SY",1,0,0
"CA-10755 RV",1,0,0
"CA-10760 RV",1,0,0
"CA-10767 RV",1,0,0
"CA-10822 RV",1,0,0
"CA-10878 RV",1,0,0
"CA-10879",1,0,0
"CA-10880 RV",1,0,0
"CA-10888 RV",1,0,0
"CA-10889 RV",1,0,0
"CA-10894",1,0,0
"CA-10894 SY RV",1,0,0
"CA-10910 RV",1,0,0
"CA-10947",1,0,0
"CA-10994 RV",1,0,0
"CA-10997",1,0,0
"CA-11048 RV",1,0,0
"CA-11070 RV",1,0,0
"CA-11071 RV",1,0,0
"CA-11072",1,0,0
"CA-11073",1,0,0
"CA-11077",1,0,0
"CA-11096",1,0,0
"CA-11104",1,0,0
"CA-11109",1,0,0
"CA-11112",1,0,0
"CA-11113 RV",1,0,0
"CA-11123",1,0,0
"CA-11124 RV",1,0,0
"CA-11124 SY RV",1,0,0
"CA-11144 RV",1,0,0
"CA-11188 RV",1,0,0
"CA-11198 RV",1,0,0
"CA-11201 RV",1,0,0
"CA-11206 RV",1,0,0
"CA-11210 RV",1,0,0
"CA-11222",1,0,0
"CA-11250",1,0,0
"CA-11258 RV",1,0,0
"CA-11263 RV",1,0,0
"CA-11305 RV",1,0,0
"CA-11345 RV",1,0,0
"CA-11411 RV",1,0,0
"CA-11416 RV",1,0,0
"CA-11417 RV",1,0,0
"CA-11426 RV",1,0,0
"CA-11458",1,0,0
"CA-11493",1,0,0
"CA-11499 RV",1,0,0
"CA-11500 RV",1,0,0
"CA-11501 RV",1,0,0
"CA-11503 RV",1,0,0
"CA-11504 RV",1,0,0
"CA-11652",1,0,0
"CA-11654",1,0,0
"CA-11674",1,0,0
"CA-11674 RV",1,0,0
"CA-11759 RV",1,0,0
"CA-11863 RV",1,0,0
"CA-11864",1,0,0
"CA-11874 RV",1,0,0
"CA-11949 RV",1,0,0
"CA-11952 RV",1,0,0
"CA-11974",1,0,0
