"codigo","codigoBarra","descripcion","precio","costo","iva","unidad"
"1","","PATITA DE POLLO X 300 GR","2479.33","2479.33","21","UN"
"2","","LATA X 10 NARANJA FROZZEN","1068.10","1068.10","21","UN"
"5","","COPITA SEI TU FLLA-AMER X 24 U","18900.00","18900.00","21","UN"
"6","","COPITA SEI TU CHOC-DULCE X 24 U","728.20","728.20","21","UN"
"7","","POTE X 360 CC X 1 U","207.00","207.00","21","UN"
"9","","DONNAS CHOCOLATE  X 12","8264.46","8264.46","21","UN"
"10","","DONNAS DE ROSA X 12","8264.46","8264.46","21","UN"
"19","","LATA X 10 CHOCO CON ALMENDRAS","42100.00","42100.00","21","UN"
"21","","LATA X 10 CHOCO C/PASAS AL RUM","42100.00","42100.00","21","UN"
"29","","LATA X 10 SAMBAYON","42100.00","42100.00","21","UN"
"32","","LATA X 10 LIGHT DULCE DE LECHE","513.70","513.70","21","UN"
"33","","LATA X 10 LIGHT VAINILLA","513.70","513.70","21","UN"
"36","","SALSAS POR UNIDAD","4091.00","4091.00","21","UN"
"37","","LATA X 10 SUPER CHOCO SEI TU","42100.00","42100.00","21","UN"
"40","","LATA X 10 CREMA DE ALMENDRAS","1433.30","1433.30","21","UN"
"42","","LATA X 10 CREMA OREO","42100.00","42100.00","21","UN"
"43","","AGUA SEI TU FRUTILLA X 36 U","14200.00","14200.00","21","UN"
"53","","LATA X 10 COCO C/ DULCE DE LECHE","37700.00","37700.00","21","UN"
"54","","LATA X 10 DULCE DE LECHE SEI TU","42100.00","42100.00","21","UN"
"55","","HAMBURGUESA TIPO CASERA 240 GR X 2 U","87.00","87.00","21","UN"
"66","","MC CAIN NOISETTES 500 GR","70.00","70.00","21","UN"
"69","","TIPO CASERA CAJA 30 X 2 UN","1711.00","1711.00","21","UN"
"76","","SEICHOC BOMBONCITOS X 5 UNID","17.00","17.00","21","UN"
"78","","SALSA GOLF ""BENIDORM"" X 250","91.00","91.00","21","UN"
"89","","POTE TERMICO X 750 CC X 1 U","372.00","372.00","21","UN"
"94","","SEI TU X 3 LTRS TRAMONTANA- DCE-TIRAMISU","9500.00","9500.00","21","UN"
"99","","PALITO CORAZON X 2un","1445.40","1445.40","21","UN"
"100","","QUESO CREMOSO X KG","9049.58","9049.58","21","UN"
"102","","HAMBURG FRIAR XL X 2 UN","3388.42","3388.42","21","UN"
"106","","QUESO CREMOSO ""LA PAULINA""","7024.79","7024.79","21","UN"
"115","","SEI TU X 5 LTRS CHOCO-FLLA-DULCE","12800.00","12800.00","21","UN"
"118","","SEI TU X 5 LTRS CHOCO-VLLA-DULCE","12800.00","12800.00","21","UN"
"137","","PAPAS FARMPAC X 2.5","8182.00","8182.00","21","UN"
"141","","PAPAS X 2,500 X 10MM MC CAIN","13223.14","13223.14","21","UN"
"142","","PAPAS X6 U X 2,500 KGR","77645.45","77645.45","21","UN"
"144","","HAMBURGUESAS SWIFT X 42 U8 (X 2 U)","1519.00","1519.00","21","UN"
"147","","HAMB. FRIAR BURGUER X 2 U","909.09","909.09","21","UN"
"148","","POTE 3/4 LTR PREMIUM FLLA A LA CREMA","4950.00","4950.00","21","UN"
"150","","PALETA ESPECIAL ""PIARA"" CERDO","194.00","194.00","21","UN"
"156","","BOCADITO DE POLLO X 2kg","11388.00","11388.00","21","UN"
"160","","TAPAS POTE 360 X 1 U","30.00","30.00","21","UN"
"165","","CAJA HAMBURG SWIFT CLAS X 2 X 30 UNIDADES","1959.00","1959.00","21","UN"
"171","","LATA X 10 MANGO","1267.20","1267.20","21","UN"
"173","","MC CAIN TRADICIONAL 15 KG","1131.00","1131.00","21","UN"
"174","","SWIFT CAJA HAMB CASERA X 24 Un","2061.00","2061.00","21","UN"
"178","","PIZZAS SEI TU X 12 U.","942.00","942.00","21","UN"
"258","","LATA X 10 CREMA IRLANDESA","710.60","710.60","21","UN"
"259","","LATA X 10 CHOCOLATE DUBAI","42100.00","42100.00","21","UN"
"278","","SEI TU TRICOLOR X 20 U","15800.00","15800.00","21","UN"
"290","","CINTA ADHESIVA X 6 U.","157.00","157.00","21","UN"
"295","","SEICHOC DDL X 15 U","54.00","54.00","21","UN"
"296","","CREMA X 24 U SEI TU FRUTILLA","12700.00","12700.00","21","UN"
"299","","SEI TU ALMENDRADO X 20 U","17400.00","17400.00","21","UN"
"307","","HAMBURGUESAS FRIAR 2X198gr","4041.00","4041.00","21","UN"
"333","","SEI TU EMPANADAS DE POLLO X 4 U","46.00","46.00","21","UN"
"334","","MC CAIN CORTE TRADICIONAL 720 GR","74.00","74.00","21","UN"
"342","","SEI TU EMPANADAS DE JAMON Y QUESO X 4 U","46.00","46.00","21","UN"
"343","","CREMA / AGUA  FRISKI X 24 U","13400.00","13400.00","21","UN"
"344","","SEI TU EMPANADAS DE CARNE X 4 U","46.00","46.00","21","UN"
"345","","SEI TU ESCOCES NEVADO X 8 U","8700.00","8700.00","21","UN"
"346","","ESPINACA X 300 GR","81.00","81.00","21","UN"
