"codigo","idrubro","idmarca","idsubrubro"
"1","1","0","0"
"2","31","0","0"
"5","23","0","0"
"6","23","0","0"
"7","34","0","0"
"9","1","0","0"
"10","4","0","0"
"19","33","0","0"
"21","33","0","0"
"29","33","0","0"
"32","31","0","0"
"33","31","0","0"
"36","34","0","0"
"37","33","0","0"
"40","33","0","0"
"42","33","0","0"
"43","23","0","0"
"53","32","0","0"
"54","33","0","0"
"55","4","0","0"
"66","4","0","0"
"69","4","0","0"
"76","1","0","0"
"78","1","0","0"
"89","34","0","0"
"94","28","0","0"
"99","23","0","0"
"100","6","0","0"
"102","1","0","0"
"106","4","0","0"
"115","29","0","0"
"118","29","0","0"
"137","4","0","0"
"141","4","0","0"
"142","4","0","0"
"144","4","0","0"
"147","4","0","0"
"148","27","0","0"
"150","4","0","0"
"156","4","0","0"
"160","34","0","0"
"165","1","0","0"
"171","32","0","0"
"173","1","0","0"
"174","1","0","0"
"178","4","0","0"
"258","33","0","0"
"259","33","0","0"
"278","24","0","0"
"290","34","0","0"
"295","1","0","0"
"296","23","0","0"
"299","24","0","0"
"307","24","0","0"
"333","4","0","0"
"334","4","0","0"
"342","4","0","0"
"343","23","0","0"
"344","4","0","0"
"345","25","0","0"
"346","4","0","0"
"348","3","0","0"
"350","4","0","0"
"356","4","0","0"
"357","4","0","0"
"359","4","0","0"
"360","25","0","0"
"361","25","0","0"
"362","4","0","0"
"371","23","0","0"
"374","23","0","0"
"375","23","0","0"
"376","23","0","0"
"377","23","0","0"
"378","23","0","0"
"379","23","0","0"
"380","23","0","0"
"382","26","0","0"
"383","23","0","0"
"384","23","0","0"
"385","23","0","0"
"386","23","0","0"
"387","23","0","0"
"388","23","0","0"
"389","23","0","0"
"390","25","0","0"
"391","23","0","0"
"392","26","0","0"
"394","25","0","0"
"396","25","0","0"
"397","23","0","0"
"398","23","0","0"
"399","23","0","0"
"400","6","0","0"
"401","4","0","0"
"403","23","0","0"
"404","23","0","0"
"405","25","0","0"
"410","25","0","0"
"411","25","0","0"
"412","24","0","0"
"414","25","0","0"
"415","25","0","0"
"419","30","0","0"
"420","30","0","0"
"421","30","0","0"
"422","28","0","0"
"423","28","0","0"
"424","28","0","0"
"425","28","0","0"
"426","28","0","0"
"427","29","0","0"
"429","27","0","0"
"430","27","0","0"
"431","26","0","0"
"432","26","0","0"
"433","26","0","0"
"436","1","0","0"
"438","4","0","0"
"442","34","0","0"
"469","23","0","0"
"485","25","0","0"
"486","24","0","0"
"487","25","0","0"
"488","31","0","0"
"489","31","0","0"
"490","31","0","0"
"491","31","0","0"
"492","31","0","0"
"494","31","0","0"
"495","31","0","0"
"496","31","0","0"
"497","32","0","0"
"498","32","0","0"
"499","32","0","0"
"500","32","0","0"
"502","31","0","0"
"503","31","0","0"
"505","31","0","0"
"507","31","0","0"
"508","31","0","0"
"509","33","0","0"
"510","33","0","0"
"511","33","0","0"
"512","33","0","0"
"520","33","0","0"
"522","25","0","0"
"523","25","0","0"
"524","25","0","0"
"525","25","0","0"
"70","4","0","0"
"243","23","0","0"
"571","23","0","0"
"484","27","0","0"
"457","33","0","0"
"95","29","0","0"
"15","1","0","0"
"120","29","0","0"
"288","25","0","0"
"167","4","0","0"
"190","25","0","0"
"11","23","0","0"
"437","20","0","0"
"439","1","0","0"
"450","6","0","0"
"538","1","0","0"
"542","32","0","0"
"322","1","0","0"
"14","33","0","0"
