"id","nombre"
"1","ALFAJORES"
"2","PRODUCTOS ARTICO"
"3","FIAMBRES PIARA"
"4","CONGELADOS"
"5","PRODUCTOS PIAMONTESA"
"6","PRODUCTOS TREMBLAY"
"7","CHOCOLATERIA"
"8","PANES"
"20","JUGUITOS TINCHO"
"23","HELADOS/IMPULSIVOS"
"24","GASTRONOMIA"
"25","LINEA HOGAREñA"
"26","POTES X 3/4 SEI TU"
"27","POTES X 1 LTR SEI TU"
"28","BALDES X 3 LTRS SEI TU"
"29","BALDES X 5 LTRS SEI TU"
"30","BALDES X 3 LTRS TUTTO"
"31","LATAS X 10 LTRS SEI TU COMUN"
"32","LATAS X 10 LTRS SEI TU ESPECIAL"
"33","LATAS X 10 LTRS SUPER ESPECIAL"
"34","INSUMOS"
"35","ADEREZOS"
